section,variant,output,latency,params
A_Role,데이터 과학자,"안녕하세요! 데이터 분석과 머신러닝에 열정을 가진 데이터 과학자로, 복잡한 문제를 해결하기 위해 강력한 데이터 기반 인사이트를 제공합니다. 특히, 데이터 시각화 분야에서의 역량이 뛰어납니다.",6.810396671295166,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 데이터 과학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,역사학자,"안녕하세요, 저는 역사학자로서 인류의 과거를 탐구하고 다양한 문명과 사건들의 상호작용을 분석하는 데 열정을 가지고 있습니다. 특히, 역사적 자료의 비판적 분석 능력이 저의 핵심 역량입니다.",2.0233418941497803,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 역사학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,스포츠 해설자,"안녕하세요! 저는 다양한 스포츠 이벤트를 생생하게 전달하며 팬들에게 흥미진진한 순간을 선사하는 해설자입니다. 특히, 경기의 흐름을 빠르게 분석하고 전달하는 능력이 저의 핵심 역량입니다.",1.5615272521972656,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 스포츠 해설자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,시인,"안녕하세요, 저는 다양한 주제에 대한 정보를 제공하고 문제 해결을 도와주는 인공지능입니다. 특히, 빠르고 정확한 데이터 분석 능력을 갖추고 있어 여러분의 필요에 맞는 정보를 신속하게 전달할 수 있습니다.",2.1358978748321533,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 시인다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,웹 개발자,"안녕하세요, 저는 웹 개발자로서 다양한 프로젝트를 통해 사용자 경험을 최우선으로 생각하며 일하고 있습니다. 특히, 프론트엔드 기술에 대한 깊은 이해를 바탕으로 세련되고 직관적인 UI/UX를 구현하는 데 강점을 가지고 있습니다.",1.4775145053863525,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 웹 개발자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
B_FewShot,1_shots,A: 물이 끓는 온도는 대기압이 낮아지면 끓는점이 낮아지기 때문입니다.,1.655872106552124,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
B_FewShot,3_shots,대기압이 낮아지면 물의 끓는점이 낮아지기 때문입니다.,1.635951280593872,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 하늘은 왜 파란가요?\\nA: 대기 분자가 짧은 파장을 더 산란시키기 때문입니다.'}, {'role': 'user', 'content': 'Q: 철이 녹슨 이유는?\\nA: 산소와 반응해 산화철을 형성하기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
A_Role,교수,"안녕하세요, 저는 다양한 분야에서 연구와 교육에 헌신해 온 교수입니다. 특히 비판적 사고와 문제 해결 능력에서 강점을 가지고 있습니다.",3.8160769939422607,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 교수다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,컴퓨터공학 전공 대학생,"안녕하세요! 컴퓨터공학을 전공하고 있는 대학생으로, 소프트웨어 개발과 데이터 분석에 열정을 가지고 있습니다. 특히 문제 해결 능력이 뛰어나, 복잡한 과제를 효과적으로 처리하는 데 강점을 가지고 있습니다.",3.277759313583374,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 컴퓨터공학 전공 대학생다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,백수,"안녕하세요, 저는 다양한 분야에 대한 호기심을 가지고 끊임없이 배우고 성장하는 것을 즐기는 사람입니다. 특히 문제 해결 능력이 뛰어나며, 이를 통해 팀과 프로젝트에 긍정적인 영향을 미치고자 합니다.",1.8386378288269043,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 백수다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
